"","Species","Number","Museum","AP","ML.large","ML.small","Oblique.rt","Oblique.left","ring","Species2"
"54","Pongo",50958,"MCZ",134.65,92.406,85.951,128.822,131.433,"ring2","Pongo"
"55","Pongo",2583,"CMNH",145.643,91.617,77.427,141.361,134.438,"ring2","Pongo"
"56","Pongo",1677,"AIMZ",158.047,101.324,83.634,155.465,147.64,"ring2","Pongo"
"57","Pongo",1167,"CMNH",114.79,100.39,96.968,108.463,113.885,"ring2","Pongo"
"58","Gorilla",17684,"MCZ",160.512,115.758,77.853,149.058,144.842,"ring2","Gorilla"
"59","Gorilla",2043,"MCZ",149.325,116.261,77.514,142.401,140.286,"ring2","Gorilla"
"60","Gorilla",26850,"MCZ",152.494,114.003,95.392,140.809,142.397,"ring2","Gorilla"
"61","Gorilla",29047,"MCZ",155.786,115.333,76.2,144.353,138.544,"ring2","Gorilla"
"62","Gorilla",38326,"MCZ",157.878,117.327,98.186,141.889,141.388,"ring2","Gorilla"
"63","Gorilla",1704,"CMNH",155.899,122.197,92.097,143.492,142.626,"ring2","Gorilla"
"64","Gorilla",1897,"CMNH",171.519,NA,89.263,154.753,155.193,"ring2","Gorilla"
"65","Gorilla",1798,"CMNH",162.611,119.978,108.719,147.062,154.358,"ring2","Gorilla"
"66","Gorilla",1765,"CMNH",168.061,121.636,101.257,165.95,159.753,"ring2","Gorilla"
"67","Pan t. verus",10736,"MCZ",149.714,100.923,81.992,144.063,141.745,"ring2","Pan t."
"68","Pan t.",6244,"MCZ",145.815,92.814,65.294,135.278,134.877,"ring2","Pan t."
"69","Pan t. ellioti",1749,"CMNH",127.42,84.443,68.092,117.842,120.68,"ring2","Pan t."
"70","Pan t.",1755,"CMNH",122.443,96.486,82.593,122.418,118.862,"ring2","Pan t."
"71","Pan t.",1880,"CMNH",140.463,113.312,89.472,142.236,140.463,"ring2","Pan t."
"72","Pan t.",2823,"CMNH",111.078,90.745,74.977,112.702,110.903,"ring2","Pan t."
"73","Pan t.",1843,"CMNH",134.147,105.077,80.629,134.5,134.789,"ring2","Pan t."
"74","Pan t.",23167,"MCZ",137.111,108.038,81.73,139.319,137.615,"ring2","Pan t."
"75","Pan t.",3539,"CMNH",141.67,117.321,101.608,142.849,140.751,"ring2","Pan t."
"76","Pan t.",3551,"CMNH",137.981,100.976,72.133,136.522,134.396,"ring2","Pan t."
"77","Hylobates lar",35949,"MCZ",81.5401554,55.5717168,39.2970669,72.9378783,73.9472616,"ring3","Hylobates lar"
"78","Hylobates lar",41469,"MCZ",73.077,53.138,43.905,67.046,70.274,"ring3","Hylobates lar"
"79","Hylobates lar",41449,"MCZ",73.585,55.861,50.105,67.772,67.477,"ring3","Hylobates lar"
"80","Hylobates lar",41477,"MCZ",72.401,46.801,37.753,67.981,65.078,"ring3","Hylobates lar"
"81","Hylobates lar",41506,"MCZ",75.808,45.503,31.096,69.025,65.505,"ring3","Hylobates lar"
"82","Hylobates lar",41524,"MCZ",70.522,52.604,42.257,62.322,66.217,"ring3","Hylobates lar"
"83","Hylobates lar",41416,"MCZ",73.818,51.032,44.751,68.361,68.884,"ring3","Hylobates lar"
"84","Hylobates lar",41500,"MCZ",68.475,69.577,71.842,47.905,64.764,"ring3","Hylobates lar"
"85","Hylobates lar",35943,"MCZ",70.762,53.906,41.995,68.471,68.06,"ring3","Hylobates lar"
"86","Hylobates lar",41412,"MCZ",79.339,55.307,40.795,79.065,75.886,"ring3","Hylobates lar"
"87","Pongo",37363,"MCZ",147.238,100,78.646,135.794,138.093,"ring3","Pongo"
"88","Pongo",5195,"MCZ",144.687,108.464,82.843,136.502,133.599,"ring3","Pongo"
"89","Pongo",1055,"CMNH",136.661,93.648,81.242,124.071,120.132,"ring3","Pongo"
"90","Pongo",1030,"CMNH",135.482,92.484,78.367,127.092,124.146,"ring3","Pongo"
"91","Pongo",37365,"MCZ",161.718,108.234,106.822,155.266,154.625,"ring3","Pongo"
"92","Pongo",50958,"MCZ",135.679,89.66,84.985,123.529,129.814,"ring3","Pongo"
"93","Pongo",2583,"CMNH",140.928,85.652,71.847,136.453,134.657,"ring3","Pongo"
"94","Pongo",1677,"AIMZ",155.2,95.553,90.53,146.236,143.782,"ring3","Pongo"
"95","Pongo",1167,"CMNH",113.813,96.502,81.516,107.365,113.538,"ring3","Pongo"
"96","Gorilla",17684,"MCZ",157.445,111.559,85.499,144.921,143.476,"ring3","Gorilla"
"97","Gorilla",2043,"MCZ",150.497,113.133,83.247,143.073,140.786,"ring3","Gorilla"
"98","Gorilla",26850,"MCZ",149.303,111.57,85.65,135.71,137.597,"ring3","Gorilla"
"99","Gorilla",29047,"MCZ",162.903,107.781,73.516,149.403,149.594,"ring3","Gorilla"
"100","Gorilla",38326,"MCZ",153.616,112.788,94.91,135.926,133.42,"ring3","Gorilla"
"101","Gorilla",1704,"CMNH",159.263,118.314,89.986,147.748,146.926,"ring3","Gorilla"
"102","Gorilla",1897,"CMNH",167.183,108.763,91.134,157.278,157.926,"ring3","Gorilla"
"103","Gorilla",1798,"CMNH",163.819,116.264,107.701,149.366,150.467,"ring3","Gorilla"
"104","Gorilla",1765,"CMNH",167.652,117.971,110.482,152.243,150.565,"ring3","Gorilla"
"105","Pan t. verus",10736,"MCZ",148.776,97.536,78.377,139.769,136.693,"ring3","Pan t."
"106","Pan t.",6244,"MCZ",147.305,92.086,63.163,138.939,136.954,"ring3","Pan t."
"107","Pan t. ellioti",1749,"CMNH",122.6,85.46,70.522,115.846,119.416,"ring3","Pan t."
"108","Pan t.",1755,"CMNH",125.221,96.168,74.986,124.596,122.331,"ring3","Pan t."
