"","Species","Number","Museum","AP","ML.large","ML.small","Oblique.rt","Oblique.left","ring","Species2"
"269","Hylobates lar",41449,"MCZ",67.434,50.961,39.174,59.712,60.614,"ring8","Hylobates lar"
"270","Hylobates lar",41477,"MCZ",69.101,41.86,33.224,65.011,62.555,"ring8","Hylobates lar"
"271","Hylobates lar",41506,"MCZ",69.915,40.482,35.224,63.446,61.634,"ring8","Hylobates lar"
"272","Hylobates lar",41524,"MCZ",71.043,46.085,43.443,65.09,65.144,"ring8","Hylobates lar"
"273","Hylobates lar",41416,"MCZ",71.566,43.506,43.449,64.479,64.545,"ring8","Hylobates lar"
"274","Hylobates lar",41500,"MCZ",59.803,66.494,41.604,58.185,57.616,"ring8","Hylobates lar"
"275","Hylobates lar",35943,"MCZ",69.024,46.738,38.457,66.827,67.163,"ring8","Hylobates lar"
"276","Hylobates lar",41412,"MCZ",77.555,44.061,35.728,74.843,71.58,"ring8","Hylobates lar"
"277","Pongo",37363,"MCZ",136.891,81.792,65.841,128.848,128.625,"ring8","Pongo"
"278","Pongo",5195,"MCZ",135.605,90.532,74.66,131.576,126.936,"ring8","Pongo"
"279","Pongo",1055,"CMNH",135.125,82.421,67.36,119.274,116.848,"ring8","Pongo"
"280","Pongo",1030,"CMNH",137.925,88.868,81.471,131.365,128.018,"ring8","Pongo"
"281","Pongo",37365,"MCZ",144.13,93.869,88.644,141.267,141.353,"ring8","Pongo"
"282","Pongo",50958,"MCZ",126.165,78.552,72.821,122.083,124.69,"ring8","Pongo"
"283","Pongo",2583,"CMNH",120.615,76.111,69.622,123.655,117.475,"ring8","Pongo"
"284","Pongo",1677,"AIMZ",139.8,81.842,79.105,138.283,138.105,"ring8","Pongo"
"285","Pongo",1167,"CMNH",112.058,89.181,89.074,108.375,113.647,"ring8","Pongo"
"286","Gorilla",17684,"MCZ",152.002,100.134,82.366,144.456,149.66,"ring8","Gorilla"
"287","Gorilla",2043,"MCZ",157.914,95.698,90.77,146.065,147.544,"ring8","Gorilla"
"288","Gorilla",26850,"MCZ",155.331,102.544,98.698,151.946,149.9,"ring8","Gorilla"
"289","Gorilla",29047,"MCZ",144.905,101.498,93.002,137.84,135.739,"ring8","Gorilla"
"290","Gorilla",38326,"MCZ",140.092,92.592,74.333,129.66,129.565,"ring8","Gorilla"
"291","Gorilla",1704,"CMNH",143.333,95.14,87.832,138.376,136.763,"ring8","Gorilla"
"292","Gorilla",1897,"CMNH",162.088,92.893,89.099,156.337,158.019,"ring8","Gorilla"
"293","Gorilla",1798,"CMNH",160.297,100.053,95.672,153.306,158.01,"ring8","Gorilla"
"294","Gorilla",1765,"CMNH",165.793,93.367,92.371,163.984,155.194,"ring8","Gorilla"
"295","Pan t. verus",10736,"MCZ",148.789,95.123,85.921,146.271,147.584,"ring8","Pan t."
"296","Pan t.",6244,"MCZ",156.25,85.019,70.716,148.997,148.769,"ring8","Pan t."
"297","Pan t. ellioti",1749,"CMNH",120.084,88.207,79.063,118.925,120.475,"ring8","Pan t."
"298","Pan t.",1755,"CMNH",132.585,90.657,75.179,130.397,130.25,"ring8","Pan t."
"299","Pan t.",1880,"CMNH",155.36,97.257,88.908,144.145,147.839,"ring8","Pan t."
"300","Pan t.",2823,"CMNH",114.241,76.969,71.201,116.731,110.349,"ring8","Pan t."
"301","Pan t.",1843,"CMNH",141.204,98.675,75.352,138.426,139.661,"ring8","Pan t."
"302","Pan t.",23167,"MCZ",132.908,101.065,79.072,130.622,134.28,"ring8","Pan t."
"303","Pan t.",3539,"CMNH",131.599,108.901,106.332,142.147,138.563,"ring8","Pan t."
"304","Pan t.",3551,"CMNH",132.095,88.374,66.277,125.198,127.991,"ring8","Pan t."
"305","Hylobates lar",35949,"MCZ",77.8311354,49.9446036,42.5504073,70.312422,71.3880378,"ring9","Hylobates lar"
"306","Hylobates lar",41469,"MCZ",63.077,48.181,41.717,57.651,59.809,"ring9","Hylobates lar"
"307","Hylobates lar",41449,"MCZ",60.675,49.372,33.911,55.259,54.4661,"ring9","Hylobates lar"
"308","Hylobates lar",41477,"MCZ",68.694,41.271,32.978,63.554,60.662,"ring9","Hylobates lar"
"309","Hylobates lar",41506,"MCZ",65.408,40.887,32.178,58.632,57.337,"ring9","Hylobates lar"
"310","Hylobates lar",41524,"MCZ",67.481,44.681,43.254,62.187,62.334,"ring9","Hylobates lar"
"311","Hylobates lar",41416,"MCZ",68.435,40.544,35.594,62.702,62.036,"ring9","Hylobates lar"
"312","Hylobates lar",41500,"MCZ",66.595,41.393,59.556,58.843,61.388,"ring9","Hylobates lar"
"313","Hylobates lar",35943,"MCZ",67.517,46.619,38.803,64.568,65.529,"ring9","Hylobates lar"
"314","Hylobates lar",41412,"MCZ",75.76,42.083,30.69,73.906,71.213,"ring9","Hylobates lar"
"315","Pongo",37363,"MCZ",131.29,84.449,67.777,122.763,124.382,"ring9","Pongo"
"316","Pongo",5195,"MCZ",131.255,90.881,75.814,127.798,137.177,"ring9","Pongo"
"317","Pongo",1055,"CMNH",130.746,80.297,77.947,113.667,110.362,"ring9","Pongo"
"318","Pongo",1030,"CMNH",133.416,86.568,79.083,128.918,124.783,"ring9","Pongo"
"319","Pongo",37365,"MCZ",144.075,92.465,89.041,138.578,138.749,"ring9","Pongo"
"320","Pongo",50958,"MCZ",121.169,77.39,74.726,119.205,120.222,"ring9","Pongo"
"321","Pongo",2583,"CMNH",116.458,76.834,67.133,120.106,116.814,"ring9","Pongo"
"322","Pongo",1677,"AIMZ",136.038,80.465,78.312,135.21,137.087,"ring9","Pongo"
"323","Pongo",1167,"CMNH",105.722,88.952,73.719,101.934,108.74,"ring9","Pongo"
"324","Gorilla",17684,"MCZ",146.233,98.988,75.984,142.894,148.05,"ring9","Gorilla"
"325","Gorilla",2043,"MCZ",156.056,94.14,90.179,142.879,146.664,"ring9","Gorilla"
"326","Gorilla",26850,"MCZ",151.854,106.951,99.211,151.128,149.2,"ring9","Gorilla"
"327","Gorilla",29047,"MCZ",140.181,99.188,91.749,133.312,135.216,"ring9","Gorilla"
"328","Gorilla",38326,"MCZ",134.799,90.598,78.127,124.072,124.307,"ring9","Gorilla"
"329","Gorilla",1704,"CMNH",136.088,93.808,89.751,132.195,131.351,"ring9","Gorilla"
"330","Gorilla",1897,"CMNH",158.111,93.161,89.594,154.176,158.139,"ring9","Gorilla"
"331","Gorilla",1798,"CMNH",155.258,99.298,96.961,151.016,157.889,"ring9","Gorilla"
"332","Gorilla",1765,"CMNH",160.941,92.079,89.602,157.134,151.127,"ring9","Gorilla"
"333","Pan t. verus",10736,"MCZ",145.332,98.834,85.699,143.085,144.661,"ring9","Pan t."
"334","Pan t.",6244,"MCZ",152.032,89.336,72.471,147.058,149.009,"ring9","Pan t."
"335","Pan t. ellioti",1749,"CMNH",118.961,89.785,78.802,118.796,118.738,"ring9","Pan t."
"336","Pan t.",1755,"CMNH",130.631,90.713,85.205,128.076,127.689,"ring9","Pan t."
"337","Pan t.",1880,"CMNH",153.786,97.575,89.679,148.813,149.177,"ring9","Pan t."
"338","Pan t.",2823,"CMNH",112.902,77.918,68.88,111.459,113.255,"ring9","Pan t."
"339","Pan t.",1843,"CMNH",138,98.77,76.435,139.343,140.173,"ring9","Pan t."
"340","Pan t.",23167,"MCZ",129.886,105.187,81.141,132.119,130.331,"ring9","Pan t."
"341","Pan t.",3539,"CMNH",126.234,120.337,107.579,138.093,134.953,"ring9","Pan t."
"342","Pan t.",3551,"CMNH",130.942,78.984,66.187,119.18,125.641,"ring9","Pan t."
"343","Hylobates lar",35949,"MCZ",NA,NA,NA,NA,NA,"ring10","Hylobates lar"
"344","Hylobates lar",41469,"MCZ",60.38,46.811,40.399,55.46,57.963,"ring10","Hylobates lar"
"345","Hylobates lar",41449,"MCZ",NA,NA,NA,NA,NA,"ring10","Hylobates lar"
"346","Hylobates lar",41477,"MCZ",66.466,41.087,31.961,57.939,57.631,"ring10","Hylobates lar"
"347","Hylobates lar",41506,"MCZ",62.447,48.745,32.231,58.031,57.827,"ring10","Hylobates lar"
"348","Hylobates lar",41524,"MCZ",63.806,43.253,36.389,57.056,56.199,"ring10","Hylobates lar"
"349","Hylobates lar",41416,"MCZ",68.466,41.472,37.58,62.13,61.098,"ring10","Hylobates lar"
"350","Hylobates lar",41500,"MCZ",40.881,55.936,54.733,58.905,39.537,"ring10","Hylobates lar"
"351","Hylobates lar",35943,"MCZ",65.88,46.484,36.703,62.305,63.889,"ring10","Hylobates lar"
"352","Hylobates lar",41412,"MCZ",76.197,41.844,30.909,72.222,69.528,"ring10","Hylobates lar"
"353","Pongo",37363,"MCZ",128.69,84.594,68.415,123.145,122.218,"ring10","Pongo"
"354","Pongo",5195,"MCZ",128.345,91.743,67.47,123.487,123.323,"ring10","Pongo"
"355","Pongo",1055,"CMNH",123.784,79.842,67.18,108.572,105.355,"ring10","Pongo"
"356","Pongo",1030,"CMNH",127.958,86.373,76.196,123.856,118.334,"ring10","Pongo"
"357","Pongo",37365,"MCZ",141.935,89.666,85.034,136.197,133.654,"ring10","Pongo"
"358","Pongo",50958,"MCZ",120.516,79.38,71.401,121.289,121.757,"ring10","Pongo"
"359","Pongo",2583,"CMNH",114.878,80.843,71.301,118.715,116.922,"ring10","Pongo"
"360","Pongo",1677,"AIMZ",137.749,80.785,80.29,131.933,135.354,"ring10","Pongo"
"361","Pongo",1167,"CMNH",100.091,85.751,74.375,94.025,98.79,"ring10","Pongo"
"362","Gorilla",17684,"MCZ",141.168,100.827,79.28,136.311,140.983,"ring10","Gorilla"
"363","Gorilla",2043,"MCZ",150.884,94.15,91.034,139.72,142.105,"ring10","Gorilla"
"364","Gorilla",26850,"MCZ",150.331,109.61,84.827,148.626,150.399,"ring10","Gorilla"
"365","Gorilla",29047,"MCZ",136.267,100.018,63.308,128.896,126.427,"ring10","Gorilla"
"366","Gorilla",38326,"MCZ",130.201,87.406,68.944,124.083,125.351,"ring10","Gorilla"
"367","Gorilla",1704,"CMNH",130.723,94.873,89.979,127.122,127.116,"ring10","Gorilla"
"368","Gorilla",1897,"CMNH",156.535,93.39,83.815,152.272,156.378,"ring10","Gorilla"
"369","Gorilla",1798,"CMNH",151.85,99.691,89.089,148.482,149.918,"ring10","Gorilla"
"370","Gorilla",1765,"CMNH",154.548,86.742,84.992,156.388,152.895,"ring10","Gorilla"
"371","Pan t. verus",10736,"MCZ",143.656,101.718,86.254,138.71,140.123,"ring10","Pan t."
"372","Pan t.",6244,"MCZ",145.067,90.211,71.818,137.721,137.568,"ring10","Pan t."
"373","Pan t. ellioti",1749,"CMNH",117.447,90.122,73.609,117.663,119.148,"ring10","Pan t."
"374","Pan t.",1755,"CMNH",130.576,91.31,72.541,131.305,130.803,"ring10","Pan t."
"375","Pan t.",1880,"CMNH",153.133,94.921,85.43,147.532,150.301,"ring10","Pan t."
"376","Pan t.",2823,"CMNH",111.883,78.684,67.339,114.466,112.575,"ring10","Pan t."
"377","Pan t.",1843,"CMNH",136.673,102.112,76.707,135.85,137.562,"ring10","Pan t."
"378","Pan t.",23167,"MCZ",126.703,101.353,78.276,126.673,128.321,"ring10","Pan t."
"379","Pan t.",3539,"CMNH",119.551,119.788,107.061,129.333,127.032,"ring10","Pan t."
"380","Pan t.",3551,"CMNH",130.447,83.968,65.759,124.417,128.873,"ring10","Pan t."
"381","Hylobates lar",35949,"MCZ",NA,NA,NA,NA,NA,"ring11","Hylobates lar"
"382","Hylobates lar",41469,"MCZ",59.062,44.906,38.429,54.672,57.156,"ring11","Hylobates lar"
"383","Hylobates lar",41449,"MCZ",NA,NA,NA,NA,NA,"ring11","Hylobates lar"
"384","Hylobates lar",41477,"MCZ",64.85,39.678,34.468,55.514,56.475,"ring11","Hylobates lar"
"385","Hylobates lar",41506,"MCZ",60.117,40.669,32.886,54.297,53.478,"ring11","Hylobates lar"
"386","Hylobates lar",41524,"MCZ",60.143,42.939,36.602,53.8,52.937,"ring11","Hylobates lar"
"387","Hylobates lar",41416,"MCZ",66.831,38.907,26.833,58.714,57.805,"ring11","Hylobates lar"
"388","Hylobates lar",41500,"MCZ",53.589,53.082,NA,NA,NA,"ring11","Hylobates lar"
"389","Hylobates lar",35943,"MCZ",63.852,46.532,36.651,62.169,62.366,"ring11","Hylobates lar"
"390","Hylobates lar",41412,"MCZ",74.875,40.69,31.906,70.077,68.33,"ring11","Hylobates lar"
"391","Pongo",37363,"MCZ",123.708,83.517,67.702,118.16,114.459,"ring11","Pongo"
"392","Pongo",5195,"MCZ",116.015,89.36,65.804,114.322,109.608,"ring11","Pongo"
"393","Pongo",1055,"CMNH",112.548,79.648,64.867,107.861,100.818,"ring11","Pongo"
"394","Pongo",1030,"CMNH",124.931,85.486,75.787,120.95,115.16,"ring11","Pongo"
"395","Pongo",37365,"MCZ",138.647,90.529,78.459,134.194,135.904,"ring11","Pongo"
"396","Pongo",50958,"MCZ",NA,NA,NA,NA,NA,"ring11","Pongo"
"397","Pongo",2583,"CMNH",114.89,91.153,69.729,121.054,120.323,"ring11","Pongo"
"398","Pongo",1677,"AIMZ",130.652,81.003,78.908,127.627,127.48,"ring11","Pongo"
"399","Pongo",1167,"CMNH",95.494,84.534,78.35,95.475,94.196,"ring11","Pongo"
"400","Gorilla",17684,"MCZ",136.759,106.409,80.412,134.661,139.225,"ring11","Gorilla"
"401","Gorilla",2043,"MCZ",147.367,95.386,93.834,138.098,139.62,"ring11","Gorilla"
"402","Gorilla",26850,"MCZ",144.427,107.868,85.248,140.182,143.681,"ring11","Gorilla"
"403","Gorilla",29047,"MCZ",132.898,102.348,71.754,123.122,124.518,"ring11","Gorilla"
"404","Gorilla",38326,"MCZ",122.511,86.598,73.16,115.081,118.945,"ring11","Gorilla"
"405","Gorilla",1704,"CMNH",124.536,94.903,81.401,122.071,121.634,"ring11","Gorilla"
"406","Gorilla",1897,"CMNH",156.137,91.028,81.819,149.78,151.807,"ring11","Gorilla"
"407","Gorilla",1798,"CMNH",146.474,102.315,88.724,148.423,149.31,"ring11","Gorilla"
"408","Gorilla",1765,"CMNH",150.038,89.313,87.885,150.134,143.525,"ring11","Gorilla"
"409","Pan t. verus",10736,"MCZ",138.992,100.638,85.852,136.411,136.837,"ring11","Pan t."
"410","Pan t.",6244,"MCZ",141.876,90.198,71.689,139.613,142.707,"ring11","Pan t."
"411","Pan t. ellioti",1749,"CMNH",113.494,90.247,67.892,115.015,116.032,"ring11","Pan t."
"412","Pan t.",1755,"CMNH",126.735,89.149,80.705,123.093,128.644,"ring11","Pan t."
"413","Pan t.",1880,"CMNH",151.122,94.375,74.954,143.692,142.93,"ring11","Pan t."
"414","Pan t.",2823,"CMNH",107.985,79.146,67.139,111.321,109.292,"ring11","Pan t."
"415","Pan t.",1843,"CMNH",133.128,106.149,76.807,135.541,137.533,"ring11","Pan t."
"416","Pan t.",23167,"MCZ",124.776,106.44,85.284,122.875,127.119,"ring11","Pan t."
"417","Pan t.",3539,"CMNH",114.422,119.738,92.14,124.019,123.261,"ring11","Pan t."
"418","Pan t.",3551,"CMNH",128.181,78.315,63.708,123.241,127.803,"ring11","Pan t."
"419","Hylobates lar",35949,"MCZ",NA,NA,NA,NA,NA,"nurb1","Hylobates lar"
"420","Hylobates lar",41469,"MCZ",59.288,44.489,39.571,55.237,56.172,"nurb1","Hylobates lar"
"421","Hylobates lar",41449,"MCZ",NA,NA,NA,NA,NA,"nurb1","Hylobates lar"
"422","Hylobates lar",41477,"MCZ",63.812,40.839,28.314,54.903,53.858,"nurb1","Hylobates lar"
"423","Hylobates lar",41506,"MCZ",54.641,39.837,30.942,51.632,50.46,"nurb1","Hylobates lar"
"424","Hylobates lar",41524,"MCZ",NA,NA,NA,NA,NA,"nurb1","Hylobates lar"
"425","Hylobates lar",41416,"MCZ",66.072,33.633,20.479,55.337,53.344,"nurb1","Hylobates lar"
"426","Hylobates lar",41500,"MCZ",NA,NA,NA,NA,NA,"nurb1","Hylobates lar"
"427","Hylobates lar",35943,"MCZ",63.206,45.994,37.261,58.389,59.809,"nurb1","Hylobates lar"
"428","Hylobates lar",41412,"MCZ",74.25,42.746,32.921,67.307,63.971,"nurb1","Hylobates lar"
"429","Pongo",37363,"MCZ",126.287,86.624,66.354,123.853,119.563,"nurb1","Pongo"
"430","Pongo",5195,"MCZ",112.507,87.807,63.996,111.543,110.531,"nurb1","Pongo"
"431","Pongo",1055,"CMNH",102.628,82.8,68.361,96.95,88.595,"nurb1","Pongo"
"432","Pongo",1030,"CMNH",117.125,78.294,74.229,109.567,109.149,"nurb1","Pongo"
"433","Pongo",37365,"MCZ",132.953,90.675,80.119,133.687,132.222,"nurb1","Pongo"
"434","Pongo",50958,"MCZ",NA,NA,NA,NA,NA,"nurb1","Pongo"
"435","Pongo",2583,"CMNH",NA,NA,NA,NA,NA,"nurb1","Pongo"
"436","Pongo",1677,"AIMZ",127.494,83.586,81.809,123.536,121.315,"nurb1","Pongo"
"437","Pongo",1167,"CMNH",90.499,85.339,77.195,89.122,89.104,"nurb1","Pongo"
"438","Gorilla",17684,"MCZ",NA,NA,NA,NA,NA,"nurb1","Gorilla"
"439","Gorilla",2043,"MCZ",142.973,94.447,92.045,134.819,137.757,"nurb1","Gorilla"
"440","Gorilla",26850,"MCZ",141.413,112.544,88.921,137.527,143.373,"nurb1","Gorilla"
"441","Gorilla",29047,"MCZ",131.19,102.528,64.15,122.256,120.958,"nurb1","Gorilla"
"442","Gorilla",38326,"MCZ",116.89,88.483,72.931,111.143,115.979,"nurb1","Gorilla"
"443","Gorilla",1704,"CMNH",119.597,92.952,74.419,117.216,116.672,"nurb1","Gorilla"
"444","Gorilla",1897,"CMNH",151.235,94.428,89.879,144.555,147.295,"nurb1","Gorilla"
"445","Gorilla",1798,"CMNH",142.155,100.443,87.576,142.46,142.552,"nurb1","Gorilla"
"446","Gorilla",1765,"CMNH",142.75,89.214,88.757,142.435,138.59,"nurb1","Gorilla"
"447","Pan t. verus",10736,"MCZ",139.477,102.699,86.04,138.758,134.934,"nurb1","Pan t."
"448","Pan t.",6244,"MCZ",141.832,92.38,73.295,139.436,141.228,"nurb1","Pan t."
"449","Pan t. ellioti",1749,"CMNH",113.596,94.515,64.949,115.969,116.797,"nurb1","Pan t."
"450","Pan t.",1755,"CMNH",126.367,90.516,72.673,127.411,127.717,"nurb1","Pan t."
"451","Pan t.",1880,"CMNH",146.149,98.161,75.993,137.873,139.631,"nurb1","Pan t."
"452","Pan t.",2823,"CMNH",104.602,81.327,69.643,107.731,106.034,"nurb1","Pan t."
"453","Pan t.",1843,"CMNH",128.494,106.722,80.445,128.686,129.132,"nurb1","Pan t."
"454","Pan t.",23167,"MCZ",123.983,102.53,78.612,123.637,124.231,"nurb1","Pan t."
"455","Pan t.",3539,"CMNH",114.474,124.34,92.483,125.232,123.944,"nurb1","Pan t."
"456","Pan t.",3551,"CMNH",120.652,101.886,70.33,112.013,123.005,"nurb1","Pan t."
"457","Hylobates lar",35949,"MCZ",NA,NA,NA,NA,NA,"nurb2","Hylobates lar"
"458","Hylobates lar",41469,"MCZ",59.307,43.658,27.809,49.536,51.415,"nurb2","Hylobates lar"
"459","Hylobates lar",41449,"MCZ",NA,NA,NA,NA,NA,"nurb2","Hylobates lar"
"460","Hylobates lar",41477,"MCZ",NA,NA,NA,NA,NA,"nurb2","Hylobates lar"
"461","Hylobates lar",41506,"MCZ",55.704,38.947,25.811,48.824,50.078,"nurb2","Hylobates lar"
"462","Hylobates lar",41524,"MCZ",NA,NA,NA,NA,NA,"nurb2","Hylobates lar"
"463","Hylobates lar",41416,"MCZ",NA,NA,NA,NA,NA,"nurb2","Hylobates lar"
"464","Hylobates lar",41500,"MCZ",NA,NA,NA,NA,NA,"nurb2","Hylobates lar"
"465","Hylobates lar",35943,"MCZ",NA,NA,NA,NA,NA,"nurb2","Hylobates lar"
"466","Hylobates lar",41412,"MCZ",NA,NA,NA,NA,NA,"nurb2","Hylobates lar"
"467","Pongo",37363,"MCZ",NA,NA,NA,NA,NA,"nurb2","Pongo"
"468","Pongo",5195,"MCZ",NA,NA,NA,NA,NA,"nurb2","Pongo"
"469","Pongo",1055,"CMNH",NA,NA,NA,NA,NA,"nurb2","Pongo"
"470","Pongo",1030,"CMNH",NA,NA,NA,NA,NA,"nurb2","Pongo"
"471","Pongo",37365,"MCZ",129.084,97.089,86.874,128.909,126.269,"nurb2","Pongo"
"472","Pongo",50958,"MCZ",NA,NA,NA,NA,NA,"nurb2","Pongo"
"473","Pongo",2583,"CMNH",NA,NA,NA,NA,NA,"nurb2","Pongo"
"474","Pongo",1677,"AIMZ",125.957,86.094,82.784,121.635,121.225,"nurb2","Pongo"
"475","Pongo",1167,"CMNH",88.31,91.071,87.157,90.429,91.841,"nurb2","Pongo"
"476","Gorilla",17684,"MCZ",NA,NA,NA,NA,NA,"nurb2","Gorilla"
"477","Gorilla",2043,"MCZ",133.012,101.573,78.667,132.308,132.099,"nurb2","Gorilla"
"478","Gorilla",26850,"MCZ",NA,NA,NA,NA,NA,"nurb2","Gorilla"
"479","Gorilla",29047,"MCZ",NA,NA,NA,NA,NA,"nurb2","Gorilla"
"480","Gorilla",38326,"MCZ",NA,NA,NA,NA,NA,"nurb2","Gorilla"
"481","Gorilla",1704,"CMNH",117.722,94.262,79.178,116.623,114.554,"nurb2","Gorilla"
"482","Gorilla",1897,"CMNH",149.988,97.169,89.195,142.723,146.324,"nurb2","Gorilla"
"483","Gorilla",1798,"CMNH",135.226,107.11,94.496,133.624,133.361,"nurb2","Gorilla"
"484","Gorilla",1765,"CMNH",125.43,87.194,82.503,121.184,118.79,"nurb2","Gorilla"
"485","Pan t. verus",10736,"MCZ",NA,NA,NA,NA,NA,"nurb2","Pan t."
"486","Pan t.",6244,"MCZ",NA,NA,NA,NA,NA,"nurb2","Pan t."
"487","Pan t. ellioti",1749,"CMNH",NA,NA,NA,NA,NA,"nurb2","Pan t."
"488","Pan t.",1755,"CMNH",NA,NA,NA,NA,NA,"nurb2","Pan t."
"489","Pan t.",1880,"CMNH",144.366,93.913,78.178,134.344,134.37,"nurb2","Pan t."
"490","Pan t.",2823,"CMNH",99.66,84.767,72.65,103.127,103.358,"nurb2","Pan t."
"491","Pan t.",1843,"CMNH",125.454,106.109,81.916,126.572,128.84,"nurb2","Pan t."
"492","Pan t.",23167,"MCZ",NA,NA,NA,NA,NA,"nurb2","Pan t."
"493","Pan t.",3539,"CMNH",NA,NA,NA,NA,NA,"nurb2","Pan t."
"494","Pan t.",3551,"CMNH",NA,NA,NA,NA,NA,"nurb2","Pan t."
